Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	447.24
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	405.97
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	436.21
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	425.25
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	415.86
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	456.31
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	454.59
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	424.45
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	405.
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	415.17
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	429.6
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	495.72
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	455.14
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	475.84
32754	1.0295e-002	5.2317e-003	-3.8731e-003	487.65
32755	1.4096e-002	3.6393e-003	-3.8731e-003	474.01
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	457.99
32757	6.5532e-003	3.6993e-003	-3.8731e-003	475.67
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	496.85
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	482.28
32760	7.4557e-003	2.8054e-003	-5.1431e-003	510.23
32761	1.0327e-002	3.9616e-003	-5.1431e-003	516.8
32762	1.318e-002	2.7599e-003	-5.1431e-003	507.88
32763	1.0295e-002	1.5138e-002	-4.0001e-003	500.3
32764	1.6644e-002	2.1367e-002	-4.0001e-003	482.81
32765	1.4511e-002	1.674e-002	-4.0001e-003	489.67
32766	1.5882e-002	2.1382e-002	-4.7621e-003	511.17
32767	1.6421e-002	2.1371e-002	-4.5389e-003	496.76
32768	1.3027e-002	1.6613e-002	-4.7621e-003	520.67
32769	7.4702e-003	1.6666e-002	-4.7621e-003	520.16
32770	4.7078e-003	2.1594e-002	-4.7621e-003	513.16
32771	3.9459e-003	2.1608e-002	-4.0001e-003	483.26
32772	4.1567e-003	2.1604e-002	-4.5263e-003	498.34
32773	5.7622e-003	1.704e-002	-4.0001e-003	488.55
32774	1.0295e-002	-3.1961e-002	-3.787e-003	370.24
32775	1.0295e-002	-3.1961e-002	-7.087e-003	399.09
32776	8.8658e-003	-3.1961e-002	-4.612e-003	377.19
32777	8.8658e-003	-3.1961e-002	-6.262e-003	391.95
32778	1.0295e-002	-4.2061e-002	-3.787e-003	351.19
32779	1.0295e-002	-3.7011e-002	-3.787e-003	353.75
32780	1.0295e-002	-4.2061e-002	-7.087e-003	365.22
32781	8.8658e-003	-4.2061e-002	-4.612e-003	354.78
32782	8.8658e-003	-4.2061e-002	-6.262e-003	361.95
32783	1.0295e-002	-3.7011e-002	-7.087e-003	380.05
32784	1.0295e-002	-3.097e-002	-5.437e-003	389.9
32785	1.0295e-002	3.4408e-002	-2.0275e-002	789.86
32786	1.0295e-002	3.4408e-002	-1.8675e-002	808.39
32787	9.602e-003	3.4408e-002	-1.9875e-002	794.25
32788	9.602e-003	3.4408e-002	-1.9075e-002	803.64
32789	1.0295e-002	3.9408e-002	-2.0275e-002	785.55
32790	1.0295e-002	3.9408e-002	-1.8675e-002	798.77
32791	9.602e-003	3.9408e-002	-1.9875e-002	788.99
32792	9.602e-003	3.9408e-002	-1.9075e-002	795.69
32793	1.0295e-002	3.3927e-002	-1.9475e-002	798.54
32794	1.0295e-002	3.4408e-002	-2.7751e-003	493.71
32795	1.0295e-002	3.4408e-002	-1.1751e-003	475.42
32796	9.602e-003	3.4408e-002	-2.3751e-003	488.79
32797	9.602e-003	3.4408e-002	-1.5751e-003	479.98
32798	1.0295e-002	3.9408e-002	-2.7751e-003	500.56
32799	1.0295e-002	3.9408e-002	-1.1751e-003	477.35
32800	9.602e-003	3.9408e-002	-2.3751e-003	495.29
32801	9.602e-003	3.9408e-002	-1.5751e-003	483.77
32802	1.0295e-002	3.3927e-002	-1.9751e-003	483.77
32803	-2.4052e-003	4.0646e-002	1.2891e-002	328.5
32804	-5.7072e-003	4.0646e-002	9.5889e-003	368.41
32805	-4.7401e-003	4.0646e-002	1.1924e-002	344.86
32806	-6.4692e-003	4.1408e-002	9.5889e-003	368.47
32807	-2.4052e-003	4.1408e-002	1.3653e-002	328.45
32808	-5.2789e-003	4.1408e-002	1.2463e-002	344.27
32809	1.0295e-002	2.7838e-002	6.2869e-003	444.88
32810	1.0295e-002	1.5138e-002	6.2869e-003	426.66
32811	1.5794e-002	2.4663e-002	6.2869e-003	427.03
32812	1.5794e-002	1.8313e-002	6.2869e-003	418.01
32813	1.0295e-002	2.7838e-002	-4.0001e-003	508.61
32814	1.0295e-002	2.7838e-002	1.5329e-004	466.11
32815	1.4827e-002	2.5935e-002	-4.0001e-003	496.79
32816	1.0295e-002	1.5138e-002	1.1434e-003	443.53
32817	1.0295e-002	-1.5342e-002	6.2869e-003	391.57
32818	1.0295e-002	-2.8042e-002	6.2869e-003	343.23
32819	1.5794e-002	-1.8517e-002	6.2869e-003	373.88
32820	1.6199e-002	-2.4029e-002	6.2869e-003	353.88
32821	1.0295e-002	-1.5342e-002	1.1434e-003	405.05
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	387.25
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	392.28
32824	1.0295e-002	-2.8042e-002	1.1434e-003	352.59
32825	2.2995e-002	-4.3299e-002	1.2891e-002	290.2
32826	2.6297e-002	-4.3299e-002	9.5889e-003	319.02
32827	2.533e-002	-4.3299e-002	1.1924e-002	303.21
32828	2.7059e-002	-4.4061e-002	9.5889e-003	319.3
32829	2.2995e-002	-4.4061e-002	1.3653e-002	289.81
32830	2.5868e-002	-4.4061e-002	1.2463e-002	302.97
32831	-2.4052e-003	4.0646e-002	6.2869e-003	420.19
32832	-4.7401e-003	4.0646e-002	7.254e-003	395.92
32833	-5.7072e-003	-4.3299e-002	9.5889e-003	320.74
32834	-5.7072e-003	3.3014e-002	9.5889e-003	369.64
32835	-5.7072e-003	2.5383e-002	9.5889e-003	368.39
32836	-5.7072e-003	1.7752e-002	9.5889e-003	365.25
32837	-5.7072e-003	1.012e-002	9.5889e-003	360.6
32838	-5.7072e-003	2.489e-003	9.5889e-003	355.45
32839	-5.7072e-003	-5.1423e-003	9.5889e-003	348.51
